Patch,OR [95% CI],Matches,P,BH q
14.13,"1.121 [1.011, 1.243]","1,757",0.031,0.036
14.14,"1.106 [0.992, 1.234]","1,570",0.069,0.074
14.15,"1.115 [1.002, 1.241]","1,603",0.046,0.050
14.16,"1.034 [0.928, 1.151]","1,655",0.546,0.546
14.17,"0.957 [0.859, 1.066]","1,635",0.428,0.433
14.18,"1.097 [1.001, 1.203]","2,041",0.047,0.051
14.19,"1.085 [0.987, 1.193]","2,172",0.092,0.097
14.20,"1.142 [1.038, 1.257]","2,112",0.007,0.008
14.21,"1.098 [1.006, 1.198]","2,404",0.037,0.041
14.22,"1.126 [1.041, 1.219]","3,089",0.003,0.004
14.23,"1.066 [1.005, 1.131]","5,224",0.032,0.037
14.24,"1.148 [1.092, 1.207]","7,638",<0.001,<0.001
15.1,"1.097 [1.036, 1.161]","5,537",0.001,0.002
15.2,"1.122 [1.053, 1.195]","4,548",<0.001,<0.001
15.3,"1.123 [1.058, 1.192]","5,176",<0.001,<0.001
15.4,"1.096 [1.031, 1.164]","5,026",0.003,0.004
15.5,"1.034 [0.964, 1.109]","3,937",0.345,0.355
15.6,"1.072 [1.004, 1.145]","4,254",0.037,0.041
15.7,"1.037 [0.968, 1.111]","3,905",0.302,0.314
15.8,"1.080 [1.014, 1.151]","4,433",0.017,0.020
15.9,"1.107 [1.042, 1.176]","5,118",0.001,0.001
15.10,"1.152 [1.088, 1.220]","5,707",<0.001,<0.001
15.11,"1.072 [1.017, 1.131]","6,272",0.010,0.012
15.12,"1.064 [1.013, 1.118]","7,700",0.013,0.015
15.13,"1.138 [1.094, 1.184]","11,660",<0.001,<0.001
15.14,"1.084 [1.039, 1.131]","10,370",<0.001,<0.001
15.15,"1.096 [1.050, 1.145]","9,803",<0.001,<0.001
15.16,"1.083 [1.038, 1.130]","10,695",<0.001,<0.001
15.17,"1.102 [1.057, 1.147]","10,964",<0.001,<0.001
15.18,"1.089 [1.047, 1.132]","12,164",<0.001,<0.001
15.19,"1.091 [1.053, 1.131]","15,091",<0.001,<0.001
15.20,"1.109 [1.072, 1.147]","16,521",<0.001,<0.001
15.21,"1.107 [1.072, 1.144]","17,439",<0.001,<0.001
15.22,"1.080 [1.051, 1.109]","25,172",<0.001,<0.001
15.23,"1.136 [1.109, 1.162]","34,050",<0.001,<0.001
15.24,"1.094 [1.082, 1.107]","138,968",<0.001,<0.001
16.1,"1.102 [1.093, 1.112]","234,473",<0.001,<0.001
16.2,"1.101 [1.092, 1.110]","281,128",<0.001,<0.001
16.3,"1.103 [1.095, 1.110]","371,632",<0.001,<0.001
16.4,"1.104 [1.097, 1.111]","440,223",<0.001,<0.001
16.5,"1.090 [1.082, 1.099]","346,660",<0.001,<0.001
16.6,"1.103 [1.089, 1.117]","128,266",<0.001,<0.001
