Region,Tier,Main sample n,Disjoint sample n,Within-stratum retention,"Absolute gold difference, main/subsample","Duration (min), main/subsample"
NA,Iron,"84,458","1,982",2.35%,1682 / 1714,30.3 / 29.9
NA,Bronze,"110,640","4,123",3.73%,1580 / 1594,31.0 / 31.1
NA,Silver,"101,509","4,317",4.25%,1553 / 1576,31.1 / 31.0
NA,Gold,"110,211","4,429",4.02%,1565 / 1571,30.8 / 30.7
NA,Platinum,"97,043","3,322",3.42%,1581 / 1594,30.4 / 30.2
NA,Emerald,"97,895","2,343",2.39%,1598 / 1625,29.8 / 29.6
NA,Diamond,"99,888","1,580",1.58%,1636 / 1627,29.0 / 29.2
EUW,Iron,"95,340","3,536",3.71%,1693 / 1686,30.5 / 30.5
EUW,Bronze,"114,534","5,245",4.58%,1598 / 1600,31.3 / 31.3
EUW,Silver,"109,533","5,403",4.93%,1576 / 1590,31.4 / 31.1
EUW,Gold,"114,413","5,574",4.87%,1585 / 1561,31.0 / 31.1
EUW,Platinum,"106,732","5,028",4.71%,1590 / 1599,30.6 / 30.5
EUW,Emerald,"106,202","4,154",3.91%,1615 / 1589,29.9 / 29.9
EUW,Diamond,"107,918","3,148",2.92%,1641 / 1632,29.1 / 29.1
KR,Iron,"97,878","3,506",3.58%,1790 / 1828,28.9 / 28.8
KR,Bronze,"114,818","5,230",4.56%,1683 / 1691,29.5 / 29.4
KR,Silver,"108,559","5,276",4.86%,1668 / 1673,29.5 / 29.3
KR,Gold,"113,877","5,417",4.76%,1661 / 1657,29.2 / 29.1
KR,Platinum,"106,095","4,862",4.58%,1663 / 1653,28.8 / 29.1
KR,Emerald,"105,944","4,065",3.84%,1684 / 1675,28.2 / 28.2
KR,Diamond,"107,434","2,911",2.71%,1699 / 1683,27.6 / 27.6
