Region,Tier,No subsequent objective,Unassigned,Opposing-team tie,Outcome available
NA,Iron,131,547,1,"84,458"
NA,Bronze,133,537,2,"110,640"
NA,Silver,111,223,1,"101,509"
NA,Gold,141,157,2,"110,211"
NA,Platinum,119,64,0,"97,043"
NA,Emerald,155,61,1,"97,895"
NA,Diamond,225,62,1,"99,888"
EUW,Iron,174,826,2,"95,340"
EUW,Bronze,133,647,3,"114,534"
EUW,Silver,125,272,4,"109,533"
EUW,Gold,131,125,3,"114,413"
EUW,Platinum,147,69,1,"106,732"
EUW,Emerald,162,59,4,"106,202"
EUW,Diamond,213,67,2,"107,918"
KR,Iron,666,"1,095",1,"97,878"
KR,Bronze,571,800,2,"114,818"
KR,Silver,477,361,3,"108,559"
KR,Gold,507,174,4,"113,877"
KR,Platinum,504,140,4,"106,095"
KR,Emerald,598,105,1,"105,944"
KR,Diamond,712,57,0,"107,434"
Total,All,"6,135","6,448",42,"2,210,921"
