Patch,NA Valid/fixed (%),EUW Valid/fixed (%),KR Valid/fixed (%),Fixed total,Valid total,Outcome available
14.5,0/32 (0.00%),0/31 (0.00%),0/20 (0.00%),83,0,0
14.6,0/374 (0.00%),0/278 (0.00%),0/198 (0.00%),850,0,0
14.7,0/359 (0.00%),0/334 (0.00%),0/270 (0.00%),963,0,0
14.8,0/486 (0.00%),0/341 (0.00%),0/367 (0.00%),"1,194",0,0
14.9,0/423 (0.00%),0/369 (0.00%),0/355 (0.00%),"1,147",0,0
14.10,5/716 (0.70%),5/485 (1.03%),0/366 (0.00%),"1,567",10,10
14.11,141/508 (27.76%),66/403 (16.38%),64/309 (20.71%),"1,220",271,255
14.12,486/654 (74.31%),292/411 (71.05%),174/320 (54.38%),"1,385",952,864
14.13,784/874 (89.70%),641/681 (94.13%),443/557 (79.53%),"2,112","1,868","1,757"
14.14,687/690 (99.57%),399/402 (99.25%),582/585 (99.49%),"1,677","1,668","1,570"
14.15,698/698 (100.00%),402/405 (99.26%),589/589 (100.00%),"1,692","1,689","1,603"
14.16,615/625 (98.40%),540/542 (99.63%),593/593 (100.00%),"1,760","1,748","1,655"
14.17,554/556 (99.64%),603/605 (99.67%),586/586 (100.00%),"1,747","1,743","1,635"
14.18,637/641 (99.38%),695/696 (99.86%),820/820 (100.00%),"2,157","2,152","2,041"
14.19,795/795 (100.00%),709/711 (99.72%),795/795 (100.00%),"2,301","2,299","2,172"
14.20,742/742 (100.00%),722/722 (100.00%),761/761 (100.00%),"2,225","2,225","2,112"
14.21,799/799 (100.00%),886/886 (100.00%),830/830 (100.00%),"2,515","2,515","2,404"
14.22,"1,049/1,071 (97.95%)","1,095/1,101 (99.46%)","1,111/1,112 (99.91%)","3,284","3,255","3,089"
14.23,"2,130/2,147 (99.21%)","1,679/1,686 (99.58%)","1,669/1,673 (99.76%)","5,506","5,478","5,224"
14.24,"2,864/2,869 (99.83%)","2,352/2,355 (99.87%)","2,783/2,783 (100.00%)","8,007","7,999","7,638"
15.1,"2,070/2,079 (99.57%)","1,859/1,871 (99.36%)","1,632/1,639 (99.57%)","5,589","5,561","5,537"
15.2,"1,446/1,450 (99.72%)","1,498/1,505 (99.53%)","1,617/1,619 (99.88%)","4,574","4,561","4,548"
15.3,"1,755/1,755 (100.00%)","1,566/1,575 (99.43%)","1,874/1,880 (99.68%)","5,210","5,195","5,176"
15.4,"1,429/1,439 (99.31%)","1,511/1,516 (99.67%)","2,109/2,109 (100.00%)","5,064","5,049","5,026"
15.5,"1,105/1,108 (99.73%)","1,237/1,238 (99.92%)","1,608/1,609 (99.94%)","3,955","3,950","3,937"
15.6,"1,370/1,378 (99.42%)","1,333/1,333 (100.00%)","1,571/1,573 (99.87%)","4,284","4,274","4,254"
15.7,"1,412/1,414 (99.86%)","1,144/1,152 (99.31%)","1,359/1,359 (100.00%)","3,925","3,915","3,905"
15.8,"1,445/1,447 (99.86%)","1,344/1,357 (99.04%)","1,659/1,659 (100.00%)","4,463","4,448","4,433"
15.9,"1,767/1,771 (99.77%)","1,472/1,476 (99.73%)","1,918/1,919 (99.95%)","5,166","5,157","5,118"
15.10,"1,994/1,994 (100.00%)","1,762/1,765 (99.83%)","1,989/1,993 (99.80%)","5,752","5,745","5,707"
15.11,"2,060/2,060 (100.00%)","1,974/1,981 (99.65%)","2,277/2,277 (100.00%)","6,318","6,311","6,272"
15.12,"2,617/2,623 (99.77%)","2,480/2,482 (99.92%)","2,652/2,655 (99.89%)","7,760","7,749","7,700"
15.13,"4,185/4,192 (99.83%)","3,309/3,327 (99.46%)","4,256/4,270 (99.67%)","11,789","11,750","11,660"
15.14,"3,460/3,479 (99.45%)","2,903/2,918 (99.49%)","4,074/4,085 (99.73%)","10,482","10,437","10,370"
15.15,"3,473/3,492 (99.46%)","2,606/2,624 (99.31%)","3,778/3,778 (100.00%)","9,894","9,857","9,803"
15.16,"3,888/3,916 (99.28%)","3,002/3,010 (99.73%)","3,865/3,866 (99.97%)","10,792","10,755","10,695"
15.17,"3,900/3,916 (99.59%)","3,199/3,208 (99.72%)","3,939/3,941 (99.95%)","11,065","11,038","10,964"
15.18,"3,974/3,977 (99.92%)","3,816/3,851 (99.09%)","4,435/4,437 (99.95%)","12,265","12,225","12,164"
15.19,"4,775/4,785 (99.79%)","4,334/4,347 (99.70%)","6,068/6,093 (99.59%)","15,225","15,177","15,091"
15.20,"5,419/5,437 (99.67%)","4,891/4,917 (99.47%)","6,294/6,318 (99.62%)","16,672","16,604","16,521"
15.21,"5,548/5,584 (99.36%)","6,187/6,205 (99.71%)","5,774/5,796 (99.62%)","17,585","17,509","17,439"
15.22,"8,776/8,819 (99.51%)","8,135/8,175 (99.51%)","8,386/8,416 (99.64%)","25,410","25,297","25,172"
15.23,"11,710/11,728 (99.85%)","9,998/10,027 (99.71%)","12,519/12,542 (99.82%)","34,297","34,227","34,050"
15.24,"48,204/48,406 (99.58%)","40,450/40,646 (99.52%)","51,045/51,164 (99.77%)","140,216","139,699","138,968"
16.1,"85,497/85,924 (99.50%)","76,605/76,966 (99.53%)","73,512/73,750 (99.68%)","236,640","235,614","234,473"
16.2,"97,926/98,527 (99.39%)","90,739/91,139 (99.56%)","93,775/94,129 (99.62%)","283,795","282,440","281,128"
16.3,"117,051/117,878 (99.30%)","123,840/124,390 (99.56%)","132,687/133,277 (99.56%)","375,545","373,578","371,632"
16.4,"131,478/132,506 (99.22%)","154,728/155,459 (99.53%)","156,518/157,390 (99.45%)","445,355","442,724","440,223"
16.5,"102,552/103,045 (99.52%)","134,274/134,478 (99.85%)","111,233/111,389 (99.86%)","348,912","348,059","346,660"
16.6,"29,046/29,237 (99.35%)","54,559/54,562 (99.99%)","45,164/45,164 (100.00%)","128,963","128,769","128,266"
