Measure,1st percentile,99th percentile
Vision score,0.10860572,1.48929364
Ward placement,0.00000000,0.89034248
Ward clearing,0.00000000,0.37351351
Control ward purchases,0.00000000,0.28782103
Enemy missing,0.00000000,0.61809920
Enemy vision,0.00000000,0.48853171
Command/attention,0.00000000,0.69237306
Need vision,0.00000000,0.13062018
Assist me,0.00000000,0.53516655
On my way,0.00000000,0.94931908
Push,0.00000000,0.11462917
All in,0.00000000,0.21259744
Get back,0.00000000,0.50912247
Assists,0.00000000,0.60273595
Kills,0.00000000,0.51507191
Fewer deaths,0.00000000,0.39754427
Gold,5.43264037,6.46929171
Damage,6.18899702,9.34831934
