API patch,NA audited / fixed,EUW audited / fixed,KR audited / fixed
14.5,0 / 32,0 / 31,0 / 20
14.6,0 / 374,0 / 278,0 / 198
14.7,0 / 359,0 / 334,0 / 270
14.8,0 / 486,0 / 341,0 / 367
14.9,0 / 423,0 / 369,0 / 355
14.10,6 / 716,5 / 485,0 / 366
14.11,145 / 508,67 / 403,66 / 309
14.12,489 / 654,296 / 411,175 / 320
14.13,784 / 874,641 / 681,449 / 557
14.14,688 / 690,388 / 402,583 / 585
14.15,688 / 698,405 / 405,589 / 589
14.16,622 / 625,542 / 542,593 / 593
14.17,556 / 556,600 / 605,586 / 586
14.18,638 / 641,690 / 696,817 / 820
14.19,795 / 795,698 / 711,795 / 795
14.20,737 / 742,720 / 722,761 / 761
14.21,793 / 799,882 / 886,826 / 830
14.22,"1,071 / 1,071","1,100 / 1,101","1,109 / 1,112"
14.23,"2,136 / 2,147","1,666 / 1,686","1,667 / 1,673"
14.24,"2,850 / 2,869","2,346 / 2,355","2,775 / 2,783"
15.1,"2,066 / 2,079","1,868 / 1,871","1,636 / 1,639"
15.2,"1,442 / 1,450","1,504 / 1,505","1,619 / 1,619"
15.3,"1,739 / 1,755","1,567 / 1,575","1,873 / 1,880"
15.4,"1,438 / 1,439","1,498 / 1,516","2,103 / 2,109"
15.5,"1,108 / 1,108","1,236 / 1,238","1,607 / 1,609"
15.6,"1,366 / 1,378","1,324 / 1,333","1,573 / 1,573"
15.7,"1,406 / 1,414","1,151 / 1,152","1,349 / 1,359"
15.8,"1,440 / 1,447","1,352 / 1,357","1,644 / 1,659"
15.9,"1,766 / 1,771","1,474 / 1,476","1,916 / 1,919"
15.10,"1,984 / 1,994","1,757 / 1,765","1,985 / 1,993"
15.11,"2,057 / 2,060","1,962 / 1,981","2,277 / 2,277"
15.12,"2,617 / 2,623","2,472 / 2,482","2,654 / 2,655"
15.13,"4,170 / 4,192","3,310 / 3,327","4,267 / 4,270"
15.14,"3,458 / 3,479","2,914 / 2,918","4,077 / 4,085"
15.15,"3,482 / 3,492","2,610 / 2,624","3,774 / 3,778"
15.16,"3,905 / 3,916","3,007 / 3,010","3,860 / 3,866"
15.17,"3,905 / 3,916","3,207 / 3,208","3,928 / 3,941"
15.18,"3,963 / 3,977","3,849 / 3,851","4,424 / 4,437"
15.19,"4,777 / 4,785","4,327 / 4,347","6,084 / 6,093"
15.20,"5,424 / 5,437","4,907 / 4,917","6,300 / 6,318"
15.21,"5,559 / 5,584","6,166 / 6,205","5,790 / 5,796"
15.22,"8,748 / 8,819","8,157 / 8,175","8,360 / 8,416"
15.23,"11,677 / 11,728","9,998 / 10,027","12,489 / 12,542"
15.24,"48,163 / 48,406","40,414 / 40,646","50,967 / 51,164"
16.1,"85,270 / 85,924","76,598 / 76,966","73,462 / 73,750"
16.2,"97,871 / 98,527","90,813 / 91,139","93,797 / 94,129"
16.3,"117,132 / 117,878","123,823 / 124,390","132,714 / 133,277"
16.4,"131,736 / 132,506","154,699 / 155,459","156,518 / 157,390"
16.5,"102,650 / 103,045","134,225 / 134,478","111,256 / 111,389"
16.6,"29,017 / 29,237","54,559 / 54,562","45,162 / 45,164"
