Region,Ping,Participant–match records,Absent or invalid,Recorded zeros,Recorded zeros (%)
NA,Enemy missing,"7,043,340",0,"1,913,947",27.17
NA,Enemy vision,"7,043,340",0,"3,844,091",54.58
NA,Command/attention,"7,043,340",0,"2,019,461",28.67
NA,Need vision,"7,043,340",0,"5,967,316",84.72
NA,Assist me,"7,043,340",0,"3,324,273",47.20
NA,On my way,"7,043,340",0,"1,590,716",22.58
NA,Push,"7,043,340",0,"6,106,682",86.70
NA,All in,"7,043,340",0,"5,712,687",81.11
NA,Get back,"7,043,340",0,"4,986,386",70.80
EUW,Enemy missing,"7,577,940",0,"1,947,903",25.70
EUW,Enemy vision,"7,577,940",0,"4,040,035",53.31
EUW,Command/attention,"7,577,940",0,"1,956,170",25.81
EUW,Need vision,"7,577,940",0,"6,236,137",82.29
EUW,Assist me,"7,577,940",0,"3,124,845",41.24
EUW,On my way,"7,577,940",0,"1,461,305",19.28
EUW,Push,"7,577,940",0,"6,323,675",83.45
EUW,All in,"7,577,940",0,"5,886,239",77.68
EUW,Get back,"7,577,940",0,"5,266,933",69.50
KR,Enemy missing,"7,612,560",0,"1,563,368",20.54
KR,Enemy vision,"7,612,560",0,"3,984,570",52.34
KR,Command/attention,"7,612,560",0,"1,638,087",21.52
KR,Need vision,"7,612,560",0,"6,399,064",84.06
KR,Assist me,"7,612,560",0,"3,148,155",41.35
KR,On my way,"7,612,560",0,"1,374,369",18.05
KR,Push,"7,612,560",0,"6,963,479",91.47
KR,All in,"7,612,560",0,"6,402,119",84.10
KR,Get back,"7,612,560",0,"3,923,098",51.53
