Specification,Regional contrast,Maintenance Δ [95% CI],Signalling Δ [95% CI],ΔM−ΔS [95% CI]
Additive,KR−NA,"0.371 [0.364, 0.376]","0.243 [0.234, 0.252]","0.127 [0.117, 0.137]"
Additive,KR−EUW,"0.332 [0.326, 0.337]","0.119 [0.109, 0.129]","0.212 [0.202, 0.223]"
Additive,EUW−NA,"0.039 [0.034, 0.044]","0.124 [0.113, 0.134]","−0.085 [−0.095, −0.074]"
Region × tier,KR−NA,"0.370 [0.364, 0.376]","0.243 [0.234, 0.252]","0.127 [0.117, 0.137]"
Region × tier,KR−EUW,"0.331 [0.325, 0.337]","0.120 [0.109, 0.129]","0.212 [0.201, 0.222]"
Region × tier,EUW−NA,"0.039 [0.034, 0.044]","0.124 [0.113, 0.134]","−0.085 [−0.095, −0.074]"
Region × position,KR−NA,"0.375 [0.369, 0.381]","0.245 [0.236, 0.255]","0.130 [0.120, 0.140]"
Region × position,KR−EUW,"0.337 [0.331, 0.342]","0.121 [0.111, 0.131]","0.215 [0.205, 0.226]"
Region × position,EUW−NA,"0.038 [0.033, 0.044]","0.124 [0.114, 0.134]","−0.086 [−0.096, −0.075]"
Both interaction sets,KR−NA,"0.375 [0.369, 0.381]","0.245 [0.236, 0.255]","0.129 [0.120, 0.139]"
Both interaction sets,KR−EUW,"0.336 [0.331, 0.342]","0.121 [0.111, 0.132]","0.215 [0.205, 0.226]"
Both interaction sets,EUW−NA,"0.038 [0.034, 0.044]","0.124 [0.114, 0.134]","−0.086 [−0.096, −0.075]"
