Region,Objective,Matches,Share (%),Median lag (s) [IQR],Within 60 s (%)
All,Atakhan,4,0.0002,"718.04 [683.45, 769.25]",0.00
All,Dragon,"1,665,674",75.34,"164.91 [107.64, 238.87]",9.70
All,Void grubs,"513,145",23.21,"26.86 [7.38, 65.40]",72.29
All,Rift Herald,"32,098",1.45,"356.90 [336.61, 391.09]",0.00
All,All assigned,"2,210,921",100.00,"135.99 [63.17, 217.92]",24.09
NA,Atakhan,1,0.0001,"831.04 [831.04, 831.04]",0.00
NA,Dragon,"539,712",76.92,"161.21 [109.87, 228.59]",7.78
NA,Void grubs,"155,240",22.13,"26.08 [7.15, 63.97]",72.92
NA,Rift Herald,"6,691",0.95,"353.80 [335.34, 385.73]",0.00
NA,All assigned,"701,644",100.00,"136.08 [70.22, 209.44]",22.12
EUW,Atakhan,1,0.0001,"671.53 [671.53, 671.53]",0.00
EUW,Dragon,"577,455",76.52,"163.63 [109.63, 234.25]",8.50
EUW,Void grubs,"168,600",22.34,"26.10 [7.22, 64.07]",72.97
EUW,Rift Herald,"8,616",1.14,"355.81 [336.18, 388.76]",0.00
EUW,All assigned,"754,672",100.00,"137.01 [67.88, 214.21]",22.80
KR,Atakhan,2,0.0003,"718.04 [702.73, 733.34]",0.00
KR,Dragon,"548,507",72.69,"171.14 [101.96, 254.73]",12.86
KR,Void grubs,"189,305",25.09,"28.20 [7.74, 67.83]",71.16
KR,Rift Herald,"16,791",2.23,"359.04 [337.34, 394.65]",0.00
KR,All assigned,"754,605",100.00,"134.56 [52.61, 231.55]",27.20
