Ping type,Regional contrast,Adjusted mean difference Δ [95% CI],Standardized mean difference d [95% CI],Holm P
Enemy missing,KR − NA,"0.157 [0.148, 0.166]","0.231 [0.217, 0.244]",<0.001
Enemy missing,KR − EUW,"0.114 [0.103, 0.123]","0.167 [0.152, 0.180]",<0.001
Enemy missing,EUW − NA,"0.044 [0.035, 0.053]","0.066 [0.053, 0.080]",<0.001
Enemy vision,KR − NA,"0.099 [0.089, 0.110]","0.131 [0.118, 0.145]",<0.001
Enemy vision,KR − EUW,"0.058 [0.047, 0.069]","0.073 [0.060, 0.088]",<0.001
Enemy vision,EUW − NA,"0.041 [0.032, 0.051]","0.056 [0.043, 0.070]",<0.001
Command/attention,KR − NA,"0.362 [0.352, 0.373]","0.477 [0.463, 0.491]",<0.001
Command/attention,KR − EUW,"0.269 [0.258, 0.279]","0.347 [0.333, 0.360]",<0.001
Command/attention,EUW − NA,"0.094 [0.085, 0.103]","0.135 [0.122, 0.148]",<0.001
Need vision,KR − NA,"0.054 [0.047, 0.061]","0.104 [0.091, 0.118]",<0.001
Need vision,KR − EUW,"0.004 [−0.003, 0.012]","0.007 [−0.006, 0.021]",0.278
Need vision,EUW − NA,"0.050 [0.042, 0.057]","0.096 [0.081, 0.109]",<0.001
Assist me,KR − NA,"0.134 [0.126, 0.142]","0.213 [0.199, 0.227]",<0.001
Assist me,KR − EUW,"0.012 [0.003, 0.021]","0.019 [0.005, 0.032]",0.014
Assist me,EUW − NA,"0.122 [0.113, 0.130]","0.185 [0.171, 0.198]",<0.001
On my way,KR − NA,"0.181 [0.171, 0.190]","0.260 [0.247, 0.274]",<0.001
On my way,KR − EUW,"0.121 [0.112, 0.131]","0.173 [0.159, 0.186]",<0.001
On my way,EUW − NA,"0.059 [0.050, 0.069]","0.087 [0.073, 0.100]",<0.001
Push,KR − NA,"−0.121 [−0.127, −0.115]","−0.263 [−0.274, −0.250]",<0.001
Push,KR − EUW,"−0.214 [−0.221, −0.207]","−0.416 [−0.427, −0.404]",<0.001
Push,EUW − NA,"0.093 [0.085, 0.102]","0.154 [0.141, 0.168]",<0.001
All in,KR − NA,"−0.075 [−0.083, −0.067]","−0.122 [−0.135, −0.109]",<0.001
All in,KR − EUW,"−0.136 [−0.145, −0.128]","−0.211 [−0.224, −0.198]",<0.001
All in,EUW − NA,"0.061 [0.051, 0.071]","0.083 [0.070, 0.097]",<0.001
Get back,KR − NA,"0.379 [0.368, 0.388]","0.500 [0.487, 0.513]",<0.001
Get back,KR − EUW,"0.357 [0.347, 0.368]","0.465 [0.451, 0.480]",<0.001
Get back,EUW − NA,"0.021 [0.012, 0.030]","0.032 [0.017, 0.044]",<0.001
