Ping type,Region,Non-zero records,Occurrence proportion (%) [95% CI],Conditional frequency per 10 min [95% CI]
Enemy missing,NA,"599,125","71.32 [71.05, 71.60]","1.937 [1.923, 1.951]"
Enemy missing,EUW,"617,359","73.50 [73.24, 73.76]","1.969 [1.955, 1.982]"
Enemy missing,KR,"661,581","78.76 [78.54, 78.98]","2.115 [2.101, 2.129]"
Enemy vision,NA,"382,205","45.50 [45.16, 45.84]","1.422 [1.407, 1.438]"
Enemy vision,EUW,"386,543","46.02 [45.68, 46.36]","1.567 [1.549, 1.584]"
Enemy vision,KR,"402,277","47.89 [47.54, 48.24]","1.543 [1.528, 1.559]"
Command/attention,NA,"573,955","68.33 [68.03, 68.63]","1.959 [1.942, 1.975]"
Command/attention,EUW,"606,563","72.21 [71.91, 72.51]","2.098 [2.082, 2.114]"
Command/attention,KR,"639,603","76.14 [75.86, 76.43]","2.681 [2.660, 2.702]"
Need vision,NA,"114,079","13.58 [13.42, 13.74]","0.592 [0.582, 0.601]"
Need vision,EUW,"130,736","15.56 [15.40, 15.73]","0.607 [0.599, 0.615]"
Need vision,KR,"124,874","14.87 [14.71, 15.02]","0.625 [0.616, 0.634]"
Assist me,NA,"417,332","49.68 [49.39, 49.97]","1.530 [1.516, 1.544]"
Assist me,EUW,"473,065","56.32 [56.03, 56.60]","1.644 [1.630, 1.658]"
Assist me,KR,"476,061","56.67 [56.42, 56.93]","1.589 [1.577, 1.601]"
On my way,NA,"633,119","75.37 [75.09, 75.65]","3.038 [3.009, 3.066]"
On my way,EUW,"661,525","78.75 [78.49, 79.01]","3.098 [3.070, 3.126]"
On my way,KR,"679,630","80.91 [80.68, 81.13]","3.451 [3.422, 3.480]"
Push,NA,"101,137","12.04 [11.89, 12.19]","0.611 [0.601, 0.621]"
Push,EUW,"127,140","15.14 [14.97, 15.30]","0.665 [0.654, 0.676]"
Push,KR,"69,577","8.28 [8.18, 8.39]","0.464 [0.459, 0.470]"
All in,NA,"139,642","16.62 [16.42, 16.83]","0.871 [0.852, 0.889]"
All in,EUW,"165,324","19.68 [19.47, 19.90]","0.855 [0.838, 0.872]"
All in,KR,"123,979","14.76 [14.59, 14.92]","0.680 [0.667, 0.693]"
Get back,NA,"239,149","28.47 [28.14, 28.80]","1.631 [1.612, 1.651]"
Get back,EUW,"250,336","29.80 [29.47, 30.14]","1.638 [1.619, 1.658]"
Get back,KR,"402,891","47.96 [47.61, 48.31]","1.938 [1.922, 1.954]"
