Region,Sampling tier,Adjusted mean [95% CI]
NA,Iron,"−0.583 [−0.593, −0.573]"
NA,Bronze,"−0.360 [−0.370, −0.350]"
NA,Silver,"−0.201 [−0.210, −0.190]"
NA,Gold,"−0.090 [−0.100, −0.080]"
NA,Platinum,"0.016 [0.005, 0.026]"
NA,Emerald,"0.114 [0.102, 0.127]"
NA,Diamond,"0.212 [0.200, 0.226]"
EUW,Iron,"−0.512 [−0.523, −0.502]"
EUW,Bronze,"−0.266 [−0.276, −0.255]"
EUW,Silver,"−0.098 [−0.109, −0.087]"
EUW,Gold,"0.010 [−0.001, 0.021]"
EUW,Platinum,"0.080 [0.068, 0.092]"
EUW,Emerald,"0.174 [0.161, 0.187]"
EUW,Diamond,"0.290 [0.276, 0.304]"
KR,Iron,"−0.324 [−0.335, −0.313]"
KR,Bronze,"−0.053 [−0.063, −0.042]"
KR,Silver,"0.118 [0.108, 0.129]"
KR,Gold,"0.226 [0.215, 0.237]"
KR,Platinum,"0.324 [0.313, 0.336]"
KR,Emerald,"0.421 [0.410, 0.434]"
KR,Diamond,"0.544 [0.531, 0.557]"
